,signal_time,deviation,max_loss,target_percent,flip,LTC 1,LTC 5,LTC 15,LTC 60,ETH 1,ETH 5,ETH 15,ETH 60,BTC 1,BTC 5,BTC 15,BTC 60,BCH 1,BCH 5,BCH 15,BCH 60
0,869.0,1.1488,0.252,0.107,True,138.39323578832924,103.48105250314762,98.0,100.0,98.0,101.31608381778317,100.0,100.0,113.48425135579049,129.76277006708295,98.0,100.0,98.0,103.79317575730583,98.0,100.0
1,110.0,0.8876000000000001,0.154,0.028,True,98.0,100.20898190895983,112.42690602989725,106.29060155366525,98.0,98.0,98.0,102.46238134820133,98.0,98.0,111.79690554015606,126.47640320604803,98.0,98.0,98.0,108.69581715532776
2,885.0,0.9804,0.079,0.09,True,128.7498061323208,100.656936810201,98.0,100.0,98.0,103.02880225539978,98.0,100.0,116.8203869475178,130.66716364485657,98.0,100.0,98.0,98.0,98.0,100.0
3,324.0,3.8664,0.039,0.122,False,98.0,115.92489538585191,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,100.0,100.0,98.0,98.0,98.0,100.0
4,411.0,3.0932,0.283,0.065,True,104.42117215429082,98.0,108.9822777777778,100.0,98.0,98.0,98.0,100.0,136.52621338102537,117.55369924134241,100.0,100.0,102.84278562088954,105.16220999799822,101.30747928397095,100.0
5,843.0,2.9456,0.087,0.049,True,120.86662557047936,116.59702287865625,100.0,100.0,104.06254246374397,98.0,100.0,100.0,125.96402714586267,117.78877184883191,100.0,100.0,114.32664044350526,104.453580036227,100.0,100.0
6,633.0,1.0408,0.046,0.223,False,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0,98.0,107.37689617700245,98.0,100.0
7,797.0,3.3864,0.036,0.043,False,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,100.0,100.0,98.0,98.0,98.0,100.0
8,425.0,1.5064,0.28,0.243,False,98.0,119.8222525901756,98.0,100.0,98.0,98.0,98.0,100.0,98.0,104.81336295946632,98.0,100.0,105.46668253004749,98.0,98.0,100.0
9,132.0,2.8360000000000003,0.173,0.083,False,98.0,98.0,115.226552043721,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,98.0
10,487.0,2.93,0.197,0.287,True,104.20514919003702,112.31283872007953,98.0,100.0,101.12296723189209,98.0,100.0,100.0,126.89315327231888,118.28609962012949,100.0,100.0,98.0,102.95960241840702,98.0,100.0
11,135.0,2.4936000000000003,0.073,0.134,False,100.27616713270818,107.01065981865702,111.73110363782197,101.69000981962891,98.0,98.0,98.0,98.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,98.0
12,417.0,2.4304,0.206,0.278,False,98.0,105.63368690357458,102.46314767902157,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0
13,532.0,2.4056,0.019,0.202,True,117.5419383086574,98.0,98.0,100.0,98.0,101.13168350233703,98.0,100.0,125.41066901868889,128.96682531810922,98.0,100.0,104.64920843918281,98.0,98.0,100.0
14,764.0,1.4984000000000002,0.156,0.055,True,121.18576940130716,105.78600711187276,98.0,100.0,98.0,103.1792586127912,98.0,100.0,107.77656815481554,128.40531135900648,98.0,100.0,98.0,98.0,98.0,100.0
15,141.0,1.1136000000000001,0.061,0.025,False,98.0,98.0,122.58805058659203,104.88094204645583,98.0,98.0,98.0,98.0,98.0,98.0,98.0,105.11476377952755,98.0,98.0,98.0,98.0
16,97.0,3.778,0.079,0.121,False,98.0,98.0,112.31910946196662,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0
17,858.0,2.0788,0.162,0.064,False,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0
18,162.0,3.448,0.075,0.011,True,108.86302634652478,106.63007205377949,104.50012020738649,100.0,98.0,108.9904905266264,100.0,100.0,142.33478070508744,98.0,107.07222254430397,100.0,102.89735080094812,114.32488437249329,98.0,100.0
19,285.0,3.5908,0.151,0.203,False,98.0,114.4091722336812,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,100.0,100.0,98.0,98.0,98.0,100.0
20,120.0,1.0416,0.219,0.185,False,98.0,98.0,109.49221862458418,104.08446914681879,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,103.3952011144637,98.0,98.0
21,367.0,1.8048000000000002,0.053,0.036,False,98.0,124.6164299990068,98.0,100.0,98.0,98.0,98.0,100.0,101.25662087828955,107.31085387782481,98.0,100.0,98.0,100.81623491656242,98.0,100.0
22,553.0,0.6728000000000001,0.03,0.121,True,114.37969901636568,98.0,98.0,100.0,98.0,98.0,98.0,100.0,98.0,101.53908861144431,110.80006428256931,98.0,98.0,98.0,98.0,100.0
23,370.0,1.6788,0.226,0.07,True,104.7367959523845,98.0,109.67394687149876,100.0,98.0,98.0,98.0,100.0,98.0,102.28684012752751,115.61353069263889,98.0,98.0,98.0,105.24726246699805,100.0
24,438.0,2.6528,0.156,0.091,True,116.76713937961736,98.0,98.0,100.0,98.0,98.0,98.0,100.0,118.28147355255145,133.28570624268235,111.78552236631523,100.0,98.0,101.90823556374973,103.91907655101299,100.0
25,770.0,1.0392000000000001,0.133,0.009,True,106.92602549354972,109.48114660900711,98.0,100.0,98.0,98.0,98.0,100.0,115.9312918906222,134.88282324781375,98.0,100.0,98.0,98.0,98.0,100.0
26,326.0,1.1604,0.007,0.285,True,98.0,110.0075539879003,104.90653629675084,100.0,98.0,98.0,103.04918612859498,100.0,98.0,113.54299062112375,126.74874246986823,98.0,98.0,98.0,112.2417872139436,100.0
27,169.0,1.1268,0.283,0.108,True,98.0,127.8529005575608,102.29407929855759,98.0,98.0,98.0,98.0,98.0,98.0,100.7629523005644,103.31191379505728,98.0,98.0,98.0,98.0,98.0
